Activity_Type,Heart rate___beats/minute,Sleep type duration_minutes,Sleep duration_minutes,Calories burned_kcal,Exercise duration_s,Floors climbed___floors,Code
REM Sleep,52,0,-2,,,,93829-0
Light Sleep,63,1,2,,,,93830-8
Light Sleep,84,10,24,,,,93830-8
Light Sleep,58,2,4,,,,93830-8
REM Sleep,58,0,-1,,,,93829-0
Light Sleep,83,9,21,,,,93830-8
Light Sleep,74,11,23,,,,93830-8
Light Sleep,58,5,11,,,,93830-8
Light Sleep,84,12,21,,,,93830-8
REM Sleep,56,0,0,,,,93829-0
Light Sleep,62,10,10,,,,93830-8
Light Sleep,84,11,13,,,,93830-8
REM Sleep,50,3,3,,,,93829-0
Light Sleep,56,6,6,,,,93830-8
Light Sleep,79,17,37,,,,93830-8
Light Sleep,81,3,10,,,,93830-8
Light Sleep,78,11,22,,,,93830-8
Light Sleep,54,5,7,,,,93830-8
Light Sleep,82,9,21,,,,93830-8
Light Sleep,55,6,3,,,,93830-8
Light Sleep,51,3,3,,,,93830-8
Light Sleep,76,12,17,,,,93830-8
Light Sleep,85,10,23,,,,93830-8
Light Sleep,81,1,0,,,,93830-8
Light Sleep,76,5,16,,,,93830-8
Light Sleep,78,7,5,,,,93830-8
Light Sleep,52,2,3,,,,93830-8
Light Sleep,72,6,7,,,,93830-8
Light Sleep,78,16,31,,,,93830-8
Light Sleep,56,4,4,,,,93830-8
Light Sleep,55,6,8,,,,93830-8
Light Sleep,85,19,20,,,,93830-8
Light Sleep,78,5,11,,,,93830-8
Light Sleep,67,11,13,,,,93830-8
Light Sleep,83,6,10,,,,93830-8
Light Sleep,51,13,4,,,,93830-8
Light Sleep,80,8,0,,,,93830-8
REM Sleep,51,1,11,,,,93829-0
Light Sleep,58,11,15,,,,93830-8
Light Sleep,66,15,20,,,,93830-8
REM Sleep,55,0,-1,,,,93829-0
Light Sleep,75,6,5,,,,93830-8
REM Sleep,51,1,6,,,,93829-0
Light Sleep,84,7,18,,,,93830-8
Light Sleep,56,5,13,,,,93830-8
Light Sleep,49,11,6,,,,93830-8
REM Sleep,50,2,3,,,,93829-0
Light Sleep,84,10,18,,,,93830-8
Light Sleep,49,2,3,,,,93830-8
Light Sleep,55,5,8,,,,93830-8
Light Sleep,77,10,34,,,,93830-8
Light Sleep,78,20,32,,,,93830-8
Light Sleep,63,0,4,,,,93830-8
Light Sleep,51,12,34,,,,93830-8
Light Sleep,75,11,40,,,,93830-8
Light Sleep,50,1,6,,,,93830-8
REM Sleep,62,0,2,,,,93829-0
Light Sleep,57,3,5,,,,93830-8
Light Sleep,77,17,21,,,,93830-8
REM Sleep,67,0,10,,,,93829-0
Light Sleep,78,17,19,,,,93830-8
Light Sleep,84,0,0,,,,93830-8
Light Sleep,78,5,3,,,,93830-8
REM Sleep,63,2,9,,,,93829-0
Light Sleep,79,10,22,,,,93830-8
Light Sleep,74,13,19,,,,93830-8
Light Sleep,55,0,17,,,,93830-8
Light Sleep,79,12,20,,,,93830-8
REM Sleep,65,3,7,,,,93829-0
Light Sleep,68,8,20,,,,93830-8
REM Sleep,62,0,-1,,,,93829-0
Light Sleep,51,3,8,,,,93830-8
Light Sleep,83,15,21,,,,93830-8
REM Sleep,51,1,0,,,,93829-0
Light Sleep,57,19,11,,,,93830-8
Light Sleep,50,0,1,,,,93830-8
Light Sleep,57,5,8,,,,93830-8
Light Sleep,84,12,6,,,,93830-8
Light Sleep,50,6,12,,,,93830-8
Light Sleep,63,8,-1,,,,93830-8
Light Sleep,84,7,13,,,,93830-8
Light Sleep,69,17,23,,,,93830-8
Light Sleep,84,10,20,,,,93830-8
Light Sleep,49,4,0,,,,93830-8
REM Sleep,51,0,3,,,,93829-0
Light Sleep,55,3,12,,,,93830-8
Light Sleep,59,8,15,,,,93830-8
Light Sleep,49,3,7,,,,93830-8
Light Sleep,71,15,29,,,,93830-8
Light Sleep,83,12,30,,,,93830-8
Light Sleep,54,6,3,,,,93830-8
Light Sleep,69,6,4,,,,93830-8
Light Sleep,82,19,25,,,,93830-8
Light Sleep,50,1,8,,,,93830-8
Light Sleep,61,0,-1,,,,93830-8
Light Sleep,85,11,6,,,,93830-8
Light Sleep,59,4,5,,,,93830-8
REM Sleep,50,1,3,,,,93829-0
Light Sleep,66,4,8,,,,93830-8
REM Sleep,50,2,3,,,,93829-0
REM Sleep,50,2,4,,,,93829-0
Light Sleep,60,5,14,,,,93830-8
Light Sleep,69,8,28,,,,93830-8
Light Sleep,71,7,20,,,,93830-8
REM Sleep,57,3,7,,,,93829-0
Light Sleep,84,12,18,,,,93830-8
Light Sleep,81,10,24,,,,93830-8
Light Sleep,84,8,22,,,,93830-8
Light Sleep,83,7,37,,,,93830-8
Light Sleep,81,12,47,,,,93830-8
Light Sleep,76,17,36,,,,93830-8
Light Sleep,55,5,7,,,,93830-8
Light Sleep,84,6,16,,,,93830-8
Light Sleep,84,5,13,,,,93830-8
REM Sleep,55,1,1,,,,93829-0
Light Sleep,84,6,25,,,,93830-8
REM Sleep,57,-1,0,,,,93829-0
Light Sleep,85,12,18,,,,93830-8
Light Sleep,54,2,4,,,,93830-8
Light Sleep,49,3,4,,,,93830-8
REM Sleep,64,1,0,,,,93829-0
Light Sleep,68,0,4,,,,93830-8
Light Sleep,80,18,26,,,,93830-8
Light Sleep,78,6,8,,,,93830-8
Light Sleep,74,8,22,,,,93830-8
Light Sleep,53,6,4,,,,93830-8
Light Sleep,57,5,6,,,,93830-8
Light Sleep,49,19,37,,,,93830-8
Light Sleep,83,10,30,,,,93830-8
Light Sleep,55,6,9,,,,93830-8
Light Sleep,51,5,8,,,,93830-8
Light Sleep,50,3,8,,,,93830-8
Light Sleep,83,21,24,,,,93830-8
REM Sleep,65,1,2,,,,93829-0
REM Sleep,52,-1,0,,,,93829-0
Light Sleep,79,16,29,,,,93830-8
Light Sleep,85,9,16,,,,93830-8
Light Sleep,59,1,6,,,,93830-8
REM Sleep,49,2,5,,,,93829-0
Light Sleep,49,3,5,,,,93830-8
Light Sleep,51,4,7,,,,93830-8
Light Sleep,59,6,4,,,,93830-8
Light Sleep,64,0,-1,,,,93830-8
REM Sleep,49,2,3,,,,93829-0
Light Sleep,75,10,25,,,,93830-8
REM Sleep,69,2,2,,,,93829-0
REM Sleep,55,2,0,,,,93829-0
Light Sleep,84,16,14,,,,93830-8
Light Sleep,57,18,3,,,,93830-8
Light Sleep,62,3,6,,,,93830-8
Light Sleep,66,13,21,,,,93830-8
REM Sleep,50,0,-1,,,,93829-0
Light Sleep,72,5,10,,,,93830-8
REM Sleep,58,2,3,,,,93829-0
Light Sleep,52,5,12,,,,93830-8
REM Sleep,51,1,3,,,,93829-0
Light Sleep,79,9,22,,,,93830-8
REM Sleep,47,2,2,,,,93829-0
REM Sleep,52,1,2,,,,93829-0
Light Sleep,75,11,22,,,,93830-8
Light Sleep,57,6,12,,,,93830-8
Light Sleep,51,0,0,,,,93830-8
Light Sleep,82,8,21,,,,93830-8
Light Sleep,64,2,3,,,,93830-8
Light Sleep,84,15,20,,,,93830-8
REM Sleep,66,0,-1,,,,93829-0
Light Sleep,79,14,25,,,,93830-8
Light Sleep,76,0,9,,,,93830-8
Light Sleep,48,14,27,,,,93830-8
REM Sleep,50,0,0,,,,93829-0
Light Sleep,83,8,32,,,,93830-8
Light Sleep,77,8,40,,,,93830-8
Light Sleep,85,0,0,,,,93830-8
Light Sleep,57,6,7,,,,93830-8
REM Sleep,47,3,5,,,,93829-0
Light Sleep,51,0,26,,,,93830-8
REM Sleep,54,1,6,,,,93829-0
Light Sleep,83,6,19,,,,93830-8
Light Sleep,75,-1,0,,,,93830-8
Light Sleep,60,6,16,,,,93830-8
Light Sleep,81,18,21,,,,93830-8
Light Sleep,56,5,5,,,,93830-8
Light Sleep,80,6,33,,,,93830-8
Light Sleep,52,5,39,,,,93830-8
Light Sleep,76,11,19,,,,93830-8
Light Sleep,76,0,0,,,,93830-8
Light Sleep,76,0,7,,,,93830-8
Light Sleep,57,3,6,,,,93830-8
REM Sleep,63,3,4,,,,93829-0
Light Sleep,48,2,9,,,,93830-8
Light Sleep,83,13,22,,,,93830-8
Light Sleep,76,11,21,,,,93830-8
Light Sleep,67,8,6,,,,93830-8
REM Sleep,54,2,7,,,,93829-0
Light Sleep,56,6,13,,,,93830-8
REM Sleep,63,0,-1,,,,93829-0
Light Sleep,65,18,22,,,,93830-8
Light Sleep,49,2,7,,,,93830-8
Light Sleep,78,19,19,,,,93830-8
Light Sleep,80,17,31,,,,93830-8
Light Sleep,85,19,21,,,,93830-8
Light Sleep,60,6,13,,,,93830-8
Light Sleep,77,13,19,,,,93830-8
Light Sleep,51,6,5,,,,93830-8
Light Sleep,77,10,44,,,,93830-8
REM Sleep,50,0,6,,,,93829-0
Light Sleep,73,18,14,,,,93830-8
Light Sleep,85,11,21,,,,93830-8
REM Sleep,51,0,0,,,,93829-0
REM Sleep,69,0,0,,,,93829-0
Light Sleep,59,9,21,,,,93830-8
Light Sleep,63,9,16,,,,93830-8
Light Sleep,61,5,6,,,,93830-8
Light Sleep,83,12,22,,,,93830-8
Light Sleep,80,8,15,,,,93830-8
Light Sleep,82,11,-1,,,,93830-8
Light Sleep,81,10,34,,,,93830-8
Light Sleep,62,7,25,,,,93830-8
Light Sleep,51,3,-1,,,,93830-8
Light Sleep,69,0,0,,,,93830-8
Light Sleep,69,14,4,,,,93830-8
Light Sleep,84,17,34,,,,93830-8
REM Sleep,57,6,-1,,,,93829-0
Light Sleep,75,6,42,,,,93830-8
Light Sleep,83,10,34,,,,93830-8
Light Sleep,83,10,23,,,,93830-8
Light Sleep,50,6,11,,,,93830-8
Light Sleep,57,5,5,,,,93830-8
Light Sleep,84,8,9,,,,93830-8
Light Sleep,80,4,22,,,,93830-8
Light Sleep,79,28,6,,,,93830-8
Light Sleep,59,8,8,,,,93830-8
Light Sleep,65,8,16,,,,93830-8
Light Sleep,48,8,6,,,,93830-8
Light Sleep,84,8,18,,,,93830-8
Light Sleep,50,3,8,,,,93830-8
Light Sleep,78,7,7,,,,93830-8
REM Sleep,55,1,6,,,,93829-0
Light Sleep,51,5,12,,,,93830-8
REM Sleep,56,3,9,,,,93829-0
Light Sleep,80,12,25,,,,93830-8
Light Sleep,55,18,19,,,,93830-8
Light Sleep,51,6,7,,,,93830-8
Light Sleep,55,1,5,,,,93830-8
Light Sleep,78,7,11,,,,93830-8
REM Sleep,50,2,5,,,,93829-0
Light Sleep,66,17,21,,,,93830-8
Light Sleep,49,0,0,,,,93830-8
Light Sleep,51,10,10,,,,93830-8
Light Sleep,81,15,22,,,,93830-8
Light Sleep,71,7,20,,,,93830-8
Light Sleep,77,9,20,,,,93830-8
Light Sleep,51,3,10,,,,93830-8
REM Sleep,48,1,6,,,,93829-0
Light Sleep,70,12,13,,,,93830-8
REM Sleep,64,0,6,,,,93829-0
Light Sleep,68,0,41,,,,93830-8
REM Sleep,67,1,-1,,,,93829-0
Light Sleep,84,7,21,,,,93830-8
Light Sleep,64,1,5,,,,93830-8
REM Sleep,54,5,8,,,,93829-0
Light Sleep,50,23,32,,,,93830-8
Light Sleep,59,7,31,,,,93830-8
Light Sleep,72,3,0,,,,93830-8
REM Sleep,50,1,4,,,,93829-0
Light Sleep,51,5,25,,,,93830-8
Light Sleep,82,5,6,,,,93830-8
Light Sleep,53,8,12,,,,93830-8
Light Sleep,83,9,17,,,,93830-8
Light Sleep,78,11,14,,,,93830-8
Light Sleep,85,1,19,,,,93830-8
Light Sleep,52,16,4,,,,93830-8
Light Sleep,73,7,19,,,,93830-8
Light Sleep,57,2,9,,,,93830-8
Light Sleep,79,14,26,,,,93830-8
Light Sleep,51,4,7,,,,93830-8
Light Sleep,51,2,5,,,,93830-8
Light Sleep,56,5,7,,,,93830-8
Light Sleep,50,2,5,,,,93830-8
Light Sleep,84,16,22,,,,93830-8
REM Sleep,49,4,7,,,,93829-0
REM Sleep,67,-1,0,,,,93829-0
Light Sleep,84,16,18,,,,93830-8
Light Sleep,85,5,7,,,,93830-8
Light Sleep,83,11,41,,,,93830-8
REM Sleep,66,0,0,,,,93829-0
Light Sleep,59,4,2,,,,93830-8
Light Sleep,84,11,20,,,,93830-8
Light Sleep,65,0,0,,,,93830-8
Light Sleep,85,5,15,,,,93830-8
Light Sleep,77,11,24,,,,93830-8
REM Sleep,62,-1,3,,,,93829-0
Light Sleep,84,12,21,,,,93830-8
REM Sleep,66,2,-1,,,,93829-0
Light Sleep,58,3,30,,,,93830-8
Light Sleep,85,8,11,,,,93830-8
Light Sleep,71,0,0,,,,93830-8
REM Sleep,62,0,0,,,,93829-0
Light Sleep,66,4,0,,,,93830-8
Light Sleep,64,1,2,,,,93830-8
Light Sleep,70,5,9,,,,93830-8
Light Sleep,58,6,7,,,,93830-8
Light Sleep,73,10,20,,,,93830-8
Light Sleep,78,17,4,,,,93830-8
Light Sleep,73,5,6,,,,93830-8
Light Sleep,50,4,11,,,,93830-8
REM Sleep,58,5,9,,,,93829-0
Light Sleep,68,15,6,,,,93830-8
Light Sleep,59,7,16,,,,93830-8
REM Sleep,52,4,7,,,,93829-0
Light Sleep,53,7,3,,,,93830-8
Light Sleep,84,10,19,,,,93830-8
Light Sleep,84,10,17,,,,93830-8
Light Sleep,83,14,11,,,,93830-8
Light Sleep,50,0,9,,,,93830-8
Light Sleep,49,4,7,,,,93830-8
REM Sleep,50,4,6,,,,93829-0
Light Sleep,84,10,21,,,,93830-8
REM Sleep,52,2,0,,,,93829-0
REM Sleep,50,3,8,,,,93829-0
Light Sleep,83,17,39,,,,93830-8
Light Sleep,55,8,27,,,,93830-8
Light Sleep,75,18,8,,,,93830-8
Light Sleep,70,20,41,,,,93830-8
Light Sleep,57,1,4,,,,93830-8
Light Sleep,78,5,4,,,,93830-8
Light Sleep,55,3,6,,,,93830-8
REM Sleep,51,1,-1,,,,93829-0
REM Sleep,49,6,4,,,,93829-0
REM Sleep,54,1,4,,,,93829-0
REM Sleep,49,2,6,,,,93829-0
Light Sleep,84,12,13,,,,93830-8
Light Sleep,58,5,9,,,,93830-8
Light Sleep,60,5,6,,,,93830-8
REM Sleep,61,0,2,,,,93829-0
Light Sleep,63,13,19,,,,93830-8
Light Sleep,76,12,25,,,,93830-8
Light Sleep,49,1,23,,,,93830-8
Light Sleep,67,0,1,,,,93830-8
Light Sleep,49,4,7,,,,93830-8
REM Sleep,60,2,7,,,,93829-0
Light Sleep,49,5,2,,,,93830-8
REM Sleep,51,4,3,,,,93829-0
Light Sleep,72,0,26,,,,93830-8
Light Sleep,80,9,16,,,,93830-8
Light Sleep,54,9,8,,,,93830-8
Light Sleep,84,15,18,,,,93830-8
Light Sleep,77,12,23,,,,93830-8
Light Sleep,83,12,15,,,,93830-8
Light Sleep,61,6,14,,,,93830-8
Light Sleep,74,5,4,,,,93830-8
Light Sleep,77,10,22,,,,93830-8
REM Sleep,49,1,3,,,,93829-0
Light Sleep,84,13,22,,,,93830-8
REM Sleep,66,0,-1,,,,93829-0
Light Sleep,56,18,14,,,,93830-8
Light Sleep,83,8,22,,,,93830-8
REM Sleep,62,3,3,,,,93829-0
Light Sleep,85,11,17,,,,93830-8
Light Sleep,75,21,22,,,,93830-8
Light Sleep,82,4,19,,,,93830-8
Light Sleep,78,7,6,,,,93830-8
Light Sleep,76,17,23,,,,93830-8
REM Sleep,59,5,6,,,,93829-0
Light Sleep,80,27,10,,,,93830-8
Light Sleep,77,5,2,,,,93830-8
Light Sleep,56,0,37,,,,93830-8
REM Sleep,50,3,1,,,,93829-0
Light Sleep,55,2,4,,,,93830-8
REM Sleep,72,0,0,,,,93829-0
Light Sleep,80,7,12,,,,93830-8
Light Sleep,68,18,37,,,,93830-8
Light Sleep,77,20,23,,,,93830-8
Light Sleep,78,11,20,,,,93830-8
Light Sleep,62,0,2,,,,93830-8
Light Sleep,61,6,24,,,,93830-8
Light Sleep,58,6,4,,,,93830-8
Light Sleep,75,14,36,,,,93830-8
Light Sleep,51,3,7,,,,93830-8
Light Sleep,59,1,5,,,,93830-8
Light Sleep,84,0,0,,,,93830-8
Light Sleep,55,6,8,,,,93830-8
Light Sleep,75,6,11,,,,93830-8
Light Sleep,78,11,20,,,,93830-8
Light Sleep,50,3,8,,,,93830-8
Light Sleep,59,8,5,,,,93830-8
Light Sleep,79,18,28,,,,93830-8
Light Sleep,84,11,21,,,,93830-8
Light Sleep,85,7,38,,,,93830-8
Light Sleep,64,2,27,,,,93830-8
Light Sleep,72,0,1,,,,93830-8
REM Sleep,49,2,3,,,,93829-0
Light Sleep,76,6,13,,,,93830-8
Light Sleep,78,11,18,,,,93830-8
Light Sleep,79,10,20,,,,93830-8
Light Sleep,54,2,6,,,,93830-8
Light Sleep,61,17,16,,,,93830-8
Light Sleep,70,14,21,,,,93830-8
Light Sleep,79,18,21,,,,93830-8
Light Sleep,57,2,7,,,,93830-8
REM Sleep,48,3,9,,,,93829-0
Light Sleep,59,11,13,,,,93830-8
Light Sleep,56,6,12,,,,93830-8
Light Sleep,85,9,25,,,,93830-8
Light Sleep,63,0,6,,,,93830-8
Light Sleep,71,19,17,,,,93830-8
Light Sleep,50,15,11,,,,93830-8
Light Sleep,82,11,20,,,,93830-8
Light Sleep,85,21,13,,,,93830-8
REM Sleep,49,1,2,,,,93829-0
Light Sleep,66,18,26,,,,93830-8
Light Sleep,74,3,18,,,,93830-8
REM Sleep,65,1,7,,,,93829-0
Light Sleep,50,17,32,,,,93830-8
REM Sleep,49,1,-1,,,,93829-0
Light Sleep,65,12,6,,,,93830-8
Light Sleep,55,3,5,,,,93830-8
Light Sleep,64,9,1,,,,93830-8
Light Sleep,55,4,0,,,,93830-8
REM Sleep,65,0,0,,,,93829-0
Light Sleep,85,9,6,,,,93830-8
Light Sleep,79,5,18,,,,93830-8
Light Sleep,49,5,2,,,,93830-8
Light Sleep,51,5,3,,,,93830-8
Light Sleep,56,3,3,,,,93830-8
REM Sleep,57,1,1,,,,93829-0
Light Sleep,83,12,26,,,,93830-8
Light Sleep,74,11,32,,,,93830-8
Light Sleep,84,11,26,,,,93830-8
REM Sleep,65,0,1,,,,93829-0
Light Sleep,76,10,22,,,,93830-8
Light Sleep,57,5,8,,,,93830-8
Light Sleep,71,3,3,,,,93830-8
Light Sleep,57,8,13,,,,93830-8
Light Sleep,74,18,42,,,,93830-8
Light Sleep,84,17,17,,,,93830-8
REM Sleep,48,2,7,,,,93829-0
Light Sleep,56,3,3,,,,93830-8
Light Sleep,50,5,-1,,,,93830-8
Light Sleep,51,5,14,,,,93830-8
REM Sleep,62,0,1,,,,93829-0
Light Sleep,80,6,38,,,,93830-8
REM Sleep,51,3,7,,,,93829-0
Light Sleep,84,14,15,,,,93830-8
Light Sleep,76,9,19,,,,93830-8
Light Sleep,54,3,10,,,,93830-8
Light Sleep,70,10,24,,,,93830-8
Light Sleep,76,10,19,,,,93830-8
Light Sleep,84,11,19,,,,93830-8
Light Sleep,81,7,20,,,,93830-8
Light Sleep,75,19,40,,,,93830-8
Light Sleep,50,6,6,,,,93830-8
Light Sleep,50,7,17,,,,93830-8
Light Sleep,84,11,20,,,,93830-8
Light Sleep,80,17,21,,,,93830-8
REM Sleep,60,0,2,,,,93829-0
Light Sleep,81,8,15,,,,93830-8
Light Sleep,81,10,34,,,,93830-8
Light Sleep,58,5,6,,,,93830-8
Light Sleep,84,10,16,,,,93830-8
Light Sleep,54,9,23,,,,93830-8
Light Sleep,84,5,16,,,,93830-8
REM Sleep,65,0,0,,,,93829-0
Light Sleep,84,11,34,,,,93830-8
Light Sleep,63,-1,0,,,,93830-8
Light Sleep,57,7,29,,,,93830-8
Light Sleep,74,8,29,,,,93830-8
REM Sleep,50,3,1,,,,93829-0
Light Sleep,56,0,27,,,,93830-8
Light Sleep,84,9,9,,,,93830-8
Light Sleep,51,5,1,,,,93830-8
Light Sleep,78,19,10,,,,93830-8
Light Sleep,50,6,10,,,,93830-8
Light Sleep,85,0,0,,,,93830-8
Light Sleep,84,10,20,,,,93830-8
Light Sleep,84,10,36,,,,93830-8
Light Sleep,81,19,22,,,,93830-8
Light Sleep,64,20,9,,,,93830-8
Light Sleep,83,17,23,,,,93830-8
Light Sleep,51,-1,4,,,,93830-8
Light Sleep,54,6,5,,,,93830-8
Light Sleep,83,7,25,,,,93830-8
REM Sleep,66,0,5,,,,93829-0
Light Sleep,59,5,20,,,,93830-8
Light Sleep,49,5,7,,,,93830-8
Light Sleep,55,8,15,,,,93830-8
Light Sleep,79,9,7,,,,93830-8
Light Sleep,64,0,0,,,,93830-8
Light Sleep,59,6,7,,,,93830-8
Light Sleep,82,12,20,,,,93830-8
Light Sleep,85,10,24,,,,93830-8
Light Sleep,85,5,12,,,,93830-8
REM Sleep,73,0,0,,,,93829-0
Light Sleep,80,10,22,,,,93830-8
Light Sleep,48,3,5,,,,93830-8
Light Sleep,68,10,24,,,,93830-8
Light Sleep,70,7,18,,,,93830-8
Light Sleep,84,17,19,,,,93830-8
Light Sleep,83,11,24,,,,93830-8
Light Sleep,85,6,21,,,,93830-8
Light Sleep,78,7,37,,,,93830-8
Light Sleep,73,-1,1,,,,93830-8
Light Sleep,65,4,-1,,,,93830-8
Light Sleep,85,4,4,,,,93830-8
Light Sleep,79,11,20,,,,93830-8
Light Sleep,84,8,31,,,,93830-8
Light Sleep,63,3,20,,,,93830-8
REM Sleep,51,1,3,,,,93829-0
Light Sleep,56,5,13,,,,93830-8
REM Sleep,65,-1,0,,,,93829-0
Light Sleep,70,2,0,,,,93830-8
Light Sleep,57,4,1,,,,93830-8
Light Sleep,61,5,-1,,,,93830-8
Light Sleep,51,4,6,,,,93830-8
Light Sleep,80,7,14,,,,93830-8
Light Sleep,82,11,24,,,,93830-8
Light Sleep,75,12,22,,,,93830-8
Light Sleep,53,2,6,,,,93830-8
Light Sleep,76,6,8,,,,93830-8
Light Sleep,76,0,32,,,,93830-8
Light Sleep,77,7,20,,,,93830-8
Light Sleep,82,3,3,,,,93830-8
Light Sleep,75,11,21,,,,93830-8
Light Sleep,76,11,27,,,,93830-8
Light Sleep,71,1,0,,,,93830-8
Light Sleep,53,6,22,,,,93830-8
REM Sleep,70,2,0,,,,93829-0
Light Sleep,48,2,8,,,,93830-8
REM Sleep,56,2,2,,,,93829-0
Light Sleep,77,6,8,,,,93830-8
Light Sleep,56,5,5,,,,93830-8
Light Sleep,56,2,7,,,,93830-8
Light Sleep,67,11,8,,,,93830-8
Light Sleep,80,17,20,,,,93830-8
REM Sleep,58,2,4,,,,93829-0
Light Sleep,83,17,25,,,,93830-8
Light Sleep,82,13,19,,,,93830-8
Light Sleep,68,16,0,,,,93830-8
Light Sleep,84,18,25,,,,93830-8
Light Sleep,78,10,11,,,,93830-8
Light Sleep,83,18,24,,,,93830-8
Light Sleep,84,18,17,,,,93830-8
Light Sleep,78,13,17,,,,93830-8
Light Sleep,58,6,2,,,,93830-8
Light Sleep,79,11,14,,,,93830-8
Light Sleep,78,10,36,,,,93830-8
REM Sleep,66,5,6,,,,93829-0
Light Sleep,58,11,-1,,,,93830-8
Light Sleep,85,16,37,,,,93830-8
REM Sleep,57,2,1,,,,93829-0
Light Sleep,81,20,26,,,,93830-8
Light Sleep,83,10,19,,,,93830-8
REM Sleep,50,1,4,,,,93829-0
Light Sleep,84,15,43,,,,93830-8
Light Sleep,83,6,32,,,,93830-8
REM Sleep,52,2,6,,,,93829-0
Light Sleep,56,19,11,,,,93830-8
Light Sleep,74,-1,34,,,,93830-8
REM Sleep,62,0,0,,,,93829-0
Light Sleep,58,-1,11,,,,93830-8
Light Sleep,65,9,7,,,,93830-8
Light Sleep,83,17,25,,,,93830-8
Light Sleep,63,17,10,,,,93830-8
Light Sleep,77,11,19,,,,93830-8
Light Sleep,77,16,26,,,,93830-8
Light Sleep,51,5,7,,,,93830-8
Light Sleep,75,5,7,,,,93830-8
Light Sleep,59,16,12,,,,93830-8
Light Sleep,84,10,17,,,,93830-8
Light Sleep,49,4,10,,,,93830-8
REM Sleep,54,4,9,,,,93829-0
REM Sleep,49,3,5,,,,93829-0
Light Sleep,84,9,20,,,,93830-8
REM Sleep,49,2,1,,,,93829-0
Light Sleep,84,6,13,,,,93830-8
Light Sleep,85,8,16,,,,93830-8
Light Sleep,51,0,8,,,,93830-8
Light Sleep,50,8,19,,,,93830-8
REM Sleep,49,1,1,,,,93829-0
Light Sleep,85,12,23,,,,93830-8
Light Sleep,49,4,2,,,,93830-8
Light Sleep,49,15,22,,,,93830-8
Light Sleep,50,5,6,,,,93830-8
Light Sleep,66,0,2,,,,93830-8
REM Sleep,51,2,4,,,,93829-0
REM Sleep,64,0,0,,,,93829-0
Light Sleep,76,8,11,,,,93830-8
Light Sleep,63,-1,0,,,,93830-8
Light Sleep,50,18,6,,,,93830-8
Light Sleep,74,5,-1,,,,93830-8
Light Sleep,84,2,18,,,,93830-8
Light Sleep,52,3,3,,,,93830-8
Light Sleep,86,10,23,,,,93830-8
Light Sleep,85,15,15,,,,93830-8
Light Sleep,52,1,0,,,,93830-8
REM Sleep,54,2,3,,,,93829-0
Light Sleep,84,14,21,,,,93830-8
REM Sleep,59,0,3,,,,93829-0
Light Sleep,72,9,1,,,,93830-8
Light Sleep,71,8,16,,,,93830-8
Light Sleep,49,6,12,,,,93830-8
REM Sleep,66,0,0,,,,93829-0
Light Sleep,85,11,14,,,,93830-8
REM Sleep,58,3,3,,,,93829-0
REM Sleep,55,3,4,,,,93829-0
Light Sleep,81,6,10,,,,93830-8
REM Sleep,65,0,0,,,,93829-0
Light Sleep,80,20,6,,,,93830-8
REM Sleep,51,3,5,,,,93829-0
Light Sleep,85,20,26,,,,93830-8
Light Sleep,83,8,17,,,,93830-8
Light Sleep,84,19,35,,,,93830-8
REM Sleep,49,2,6,,,,93829-0
Light Sleep,64,0,1,,,,93830-8
Light Sleep,80,5,16,,,,93830-8
Light Sleep,81,19,24,,,,93830-8
Light Sleep,50,5,5,,,,93830-8
Light Sleep,81,9,18,,,,93830-8
Light Sleep,52,0,5,,,,93830-8
Light Sleep,49,3,7,,,,93830-8
Light Sleep,67,0,1,,,,93830-8
Light Sleep,84,0,18,,,,93830-8
Light Sleep,50,6,1,,,,93830-8
Light Sleep,83,10,20,,,,93830-8
Light Sleep,48,6,25,,,,93830-8
REM Sleep,57,3,3,,,,93829-0
Light Sleep,83,16,22,,,,93830-8
Light Sleep,81,7,14,,,,93830-8
Light Sleep,58,8,29,,,,93830-8
Light Sleep,84,18,33,,,,93830-8
Light Sleep,75,15,22,,,,93830-8
Light Sleep,57,7,9,,,,93830-8
Light Sleep,49,15,29,,,,93830-8
Light Sleep,65,0,-1,,,,93830-8
Light Sleep,80,11,21,,,,93830-8
REM Sleep,52,2,2,,,,93829-0
REM Sleep,51,2,6,,,,93829-0
Light Sleep,63,19,26,,,,93830-8
REM Sleep,65,0,-1,,,,93829-0
REM Sleep,57,1,1,,,,93829-0
REM Sleep,57,3,2,,,,93829-0
REM Sleep,50,0,0,,,,93829-0
REM Sleep,50,1,4,,,,93829-0
Light Sleep,82,14,32,,,,93830-8
Light Sleep,84,10,21,,,,93830-8
Light Sleep,75,5,29,,,,93830-8
REM Sleep,64,2,4,,,,93829-0
REM Sleep,55,1,1,,,,93829-0
Light Sleep,84,6,33,,,,93830-8
Light Sleep,76,12,4,,,,93830-8
Light Sleep,83,19,21,,,,93830-8
Light Sleep,79,9,9,,,,93830-8
Light Sleep,80,19,20,,,,93830-8
Light Sleep,76,14,20,,,,93830-8
Light Sleep,50,5,7,,,,93830-8
Light Sleep,78,15,17,,,,93830-8
Light Sleep,66,14,0,,,,93830-8
Light Sleep,56,3,10,,,,93830-8
REM Sleep,57,2,1,,,,93829-0
Light Sleep,54,5,2,,,,93830-8
Light Sleep,73,11,15,,,,93830-8
